Gene_ID,Sl_hyd_r1,Sl_hyd_r2,Sl_hyd_r3,Sl_des_r1,Sl_des_r2,Sl_des_r3,Sl_rehyd_r1,Sl_rehyd_r2,Sl_rehyd_r3
MSTRG.12399,0.0,0.93705,2.558355,1.766697,0.0,1.921537,0.0,1.380943,1.317438
MSTRG.12397,342.177246,419.455444,524.36322,470.022888,502.384338,353.293793,173.740768,247.507324,174.825836
MSTRG.12400,109.541214,99.163956,119.247108,288.012024,228.512512,265.511108,89.397064,86.362091,132.942505
MSTRG.12401,0.0,1.951674,7.055808,2.372969,1.999636,1.507723,4.563001,1.361095,1.705496
MSTRG.12402,0.0,2.413467,7.810212,2.471977,2.934803,2.550383,6.654674,1.837052,2.920705
MSTRG.12403,0.0,0.823363,2.594298,1.552354,1.944199,1.688409,2.162567,1.597467,2.573631
MSTRG.12404,80.920448,74.49041,74.80761,78.906036,61.270641,60.564098,62.57214,76.308266,67.23719
MSTRG.12405,62.663727,72.266937,70.62854,50.074425,46.41156,57.098083,36.689232,54.066284,54.77388
MSTRG.12406,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MSTRG.12408,84.47113,92.451469,103.882507,72.113655,70.364563,73.28653,68.127602,66.619415,71.536201
MSTRG.12409,37.600502,5.721599,8.638228,24.863132,5.726634,5.361897,9.10002,44.957096,18.034428
MSTRG.12407,74.150337,75.390656,77.047783,55.104359,53.386173,77.128975,37.842335,60.032291,61.725742
MSTRG.12410,31.254801,22.728666,25.734343,10.038112,8.144818,15.733118,9.824756,27.443655,34.358627
MSTRG.12413,4.819804,0.0,2.885331,4.826218,7.089196,4.364169,2.737953,2.222323,0.690704
MSTRG.12412,51.020401,56.65094,67.616142,57.922482,52.03595,48.816662,44.157078,37.585133,47.70414
MSTRG.12414,61.08247,71.402458,61.353863,72.085617,65.076897,69.818893,42.66758,61.524204,73.283798
MSTRG.12416,0.0,8.239195,3.327011,2.866753,1.919751,4.326576,4.739666,1.520911,0.679656
MSTRG.12415,75.418594,61.156544,52.524307,85.683823,73.147346,81.399765,44.308216,91.777237,73.909431
MSTRG.12417,16.776995,16.893263,15.388252,14.043332,12.912226,14.018253,7.641091,13.452332,15.401506
MSTRG.12418,3.811787,10.55986,13.946181,17.640562,16.718273,28.244879,0.0,19.620789,10.285174
MSTRG.12419,10.365152,11.746072,6.459015,14.177773,14.877894,5.496222,4.658273,9.463622,11.637987
