gene_id,mean_hydrated,mean_dehydrated,mean_rehydrated,log2FC,pvalue,cp_hyd_r1,cp_hyd_r3,cp_wc2_r2,cp_wc2_r3,cp_wc60_r1,cp_wc60_r2,cp_wc60_r3,cp_rehyd_r1,cp_rehyd_r2,cp_rehyd_r3,padj
Cp_V2_contig_17755,20.245,46.684,30.661,1.2014,0.4018012177972894,0.0,40.489,58.65,40.648,36.259,31.9,65.962,12.304,64.729,14.949,0.8179375190049303
Cp_V2_contig_17757,92.765,172.387,141.694,0.8933,0.5455820650614972,0.0,185.53,189.36,216.355,193.832,101.131,161.258,181.775,140.047,103.259,0.9078846173048445
Cp_V2_contig_17763,0.0,1.632,0.0,4.1146,0.19469639004925016,0.0,0.0,0.0,3.074,0.0,5.087,0.0,0.0,0.0,0.0,0.7818663273930058
Cp_V2_contig_17767,0.0,3.266,0.0,5.0731,0.22002565882127587,0.0,0.0,0.0,0.0,0.0,4.916,11.416,0.0,0.0,0.0,0.7818663273930058
Cp_V2_contig_17768,0.0,14.121,31.171,7.1519,0.12275814901847353,0.0,0.0,10.512,0.0,0.0,38.053,22.04,71.037,22.475,0.0,0.7818663273930058
Cp_V2_contig_17770,60.293,122.425,98.156,1.0206,0.48941667558564605,0.0,120.586,142.963,123.188,109.285,123.475,113.213,87.114,104.985,102.368,0.8811143061996468
Cp_V2_contig_17771,0.0,0.0,2.078,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.234,0.0,0.0,1.0
Cp_V2_contig_17775,8.298,0.0,2.475,-6.392,0.5000000000000001,0.0,16.597,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.425,0.8811143061996468
Cp_V2_contig_17783,27.942,73.349,67.613,1.3892,0.33951004616397423,0.0,55.883,58.36,63.736,90.308,65.072,89.27,77.763,48.447,76.628,0.7818663273930058
Cp_V2_contig_17785,49.99,58.358,90.151,0.2229,0.8977922230191951,0.0,99.981,62.492,10.432,0.0,95.665,123.203,170.456,22.975,77.024,1.0
Cp_V2_contig_17786,0.0,1.432,0.0,3.9374,0.2034052517918544,0.0,0.0,0.0,2.485,0.0,4.675,0.0,0.0,0.0,0.0,0.7818663273930058
Cp_V2_contig_17789,26.579,37.381,31.069,0.4905,0.7563984716942682,0.0,53.157,42.555,37.345,70.993,18.253,17.759,20.179,29.468,43.561,0.9723463346905911
Cp_V2_contig_17790,0.0,0.0,3.719,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.156,0.0,0.0,1.0
Cp_V2_contig_17793,50.612,77.127,121.852,0.6068,0.6988404925937838,0.0,101.223,43.28,46.044,12.369,129.424,154.519,203.841,64.446,97.269,0.9552385548754537
Cp_V2_contig_17794,26.759,66.291,95.86,1.3056,0.3610615995025588,0.0,53.518,41.867,28.614,12.369,102.729,145.877,173.819,61.982,51.778,0.7818663273930058
Cp_V2_contig_17796,23.291,36.457,56.758,0.6442,0.6723966251082649,0.0,46.583,28.129,28.451,37.953,64.762,22.991,98.106,43.852,28.315,0.9461523752914535
Cp_V2_contig_17799,0.0,3.864,0.0,5.3088,0.37390096630005887,0.0,0.0,0.0,0.0,0.0,19.319,0.0,0.0,0.0,0.0,0.7818663273930058
Cp_V2_contig_178,5.773,6.503,13.718,0.169,0.9225474339298082,0.0,11.546,10.729,12.95,0.0,8.834,0.0,0.0,41.155,0.0,1.0
Cp_V2_contig_1780,3.047,24.514,45.635,2.9675,0.1630266606218303,0.0,6.093,68.147,35.874,0.0,6.497,12.051,0.0,65.229,71.677,0.7818663273930058
Cp_V2_contig_17800,0.0,6.109,0.0,5.9562,0.28841995867827974,0.0,0.0,25.736,4.807,0.0,0.0,0.0,0.0,0.0,0.0,0.7818663273930058
Cp_V2_contig_17805,0.0,0.0,3.883,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.648,0.0,0.0,1.0
Cp_V2_contig_17810,8.739,3.82,4.851,-1.1733,0.6732823023228485,0.0,17.479,11.019,0.0,0.0,8.078,0.0,0.0,0.0,14.553,0.9465521437960003
Cp_V2_contig_17812,5.853,19.474,32.255,1.7173,0.18858536045310376,0.0,11.706,32.007,18.804,0.0,25.472,21.089,23.624,58.686,14.454,0.7818663273930058
Cp_V2_contig_17813,17.439,28.322,25.065,0.6965,0.6582463089807382,0.0,34.877,6.597,21.943,49.305,63.765,0.0,48.069,0.0,27.127,0.9407547355831831
Cp_V2_contig_17814,0.0,1.031,4.851,3.4998,0.37390096630005887,0.0,0.0,0.0,0.0,0.0,5.156,0.0,0.0,0.0,14.553,0.7818663273930058
Cp_V2_contig_17816,2.967,21.565,22.491,2.8207,0.23134822469405059,0.0,5.933,72.206,4.84,0.0,18.889,11.892,19.359,33.264,14.85,0.7818663273930058
Cp_V2_contig_17817,0.0,0.477,2.376,2.5297,0.37390096630005887,0.0,0.0,0.0,2.387,0.0,0.0,0.0,0.0,0.0,7.128,0.7818663273930058
Cp_V2_contig_17822,60.133,36.945,29.253,-0.7013,0.7662620128762014,0.0,120.266,69.959,14.127,0.0,64.487,36.152,23.624,31.166,32.968,0.9754420318524275
Cp_V2_contig_17823,23.011,19.174,34.353,-0.2619,0.8956194729838206,0.0,46.022,37.843,17.152,0.0,19.387,21.485,22.64,36.66,43.759,1.0
