Gene ID,Gene Name,cp_hyd_r1,cp_hyd_r3,cp_rehyd_r1,cp_rehyd_r2,cp_rehyd_r3,cp_wc2_r2,cp_wc2_r3,cp_wc60_r1,cp_wc60_r2,cp_wc60_r3
Cp_V2_contig_17144,.,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Cp_V2_contig_17145,.,0.0,17.719135,35.60043,112.976379,95.536957,82.573303,180.154037,362.079315,17.290569,23.46718
Cp_V2_contig_17146,.,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Cp_V2_contig_17147,.,0.0,57.486969,77.763153,0.0,20.295416,20.226471,12.03425,0.0,20.006184,22.67437
Cp_V2_contig_17148,.,0.0,8.097885,0.0,0.0,0.0,0.0,2.485334,12.538076,3.609363,0.0
Cp_V2_contig_17149,.,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Cp_V2_contig_1715,.,0.0,5.692573,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Cp_V2_contig_17150,.,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Cp_V2_contig_17151,.,0.0,60.694054,12.140239,29.767427,36.234741,39.075512,16.252779,12.368643,21.828053,63.424812
Cp_V2_contig_17152,.,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.606235,0.0
Cp_V2_contig_17153,.,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Cp_V2_contig_17154,.,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Cp_V2_contig_17155,.,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Cp_V2_contig_17156,.,0.0,0.0,0.0,0.0,0.0,0.0,2.387229,0.0,3.059365,0.0
Cp_V2_contig_17157,.,0.0,0.0,17.882244,24.273439,10.098207,10.294477,6.998178,0.0,7.6656,10.782218
Cp_V2_contig_17158,.,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Cp_V2_contig_17159,.,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Cp_V2_contig_1716,.,0.0,0.0,76.122581,26.071472,34.2547,20.371464,8.796775,44.730434,34.684258,39.164822
Cp_V2_contig_17160,.,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
